,B_X,B_Y,B_Z,B_?,EDP_X,EDP_Y,EDP_Z,EDI_X,EDI_Y,EDI_Z,IsEdi
0,55.16450873,-68.02827695,26.27043039,91.43907577,0.5347080251,0.5958774026,0.4201740944,0.6573712,0.6112215,0.20233133,1
1,55.33286676,-68.07597551,26.3027685,91.58547557,-0.07968264443,-0.1666425387,-0.2634815778,0.043217212,-0.15116496,-0.4819662,1
2,55.68148372,-68.26834882,26.34722161,91.95200412,-0.282818403,-0.2841506972,-0.1388056623,-0.15939765,-0.26834303,-0.35868037,1
3,56.02891065,-68.53593637,26.43847063,92.38726123,-0.09540482147,-0.1626151889,-0.219060424,0.028651208,-0.14655092,-0.44031924,1
4,56.42055191,-68.77711467,26.49899098,92.82115241,-0.1834689834,-0.2557036671,-0.272823277,-0.058897305,-0.23935002,-0.49561086,1
5,56.21547919,-69.18095667,26.48022095,92.99133405,-0.1636260529,0.1222909824,0.666703488,-0.038829643,0.13862455,0.44444257,1
6,56.6904751,-69.4072586,26.45921601,93.44124589,-0.0905856885,-0.2416417217,-0.4390663075,0.034527875,-0.22488585,-0.66317606,1
7,56.73196969,-69.51792843,26.41901968,93.53728126,0.3132052662,0.3582109048,0.2709968795,0.43838373,0.37510505,0.046644326,1
8,56.7431458,-69.50408745,26.31917038,93.50562407,-0.09057955097,-0.1917153308,-0.3108521143,0.03428214,-0.1747523,-0.535253,1
9,57.1971488,-69.3430054,26.19599824,93.62796524,-0.3559281714,-0.002641256317,0.7699847731,-0.23146664,0.01465463,0.5440153,1
10,57.17166468,-69.40116435,26.22758985,93.66432875,0.1904121826,0.5304622952,0.9878460614,0.31505,0.5477605,0.76192987,1
11,57.10809396,-69.44098629,26.30520081,93.67682984,0.1258991233,0.3086945098,0.5421528218,0.25087196,0.32596412,0.31642783,1
12,57.11940517,-69.54267034,26.29256582,93.75557595,-0.2377472426,0.01853687926,0.5650407702,-0.1126569,0.035893902,0.33919623,1
13,57.70690018,-69.98052577,26.22315987,94.41935091,-0.1984620737,-0.3999123298,-0.630308803,-0.072928436,-0.3819231,-0.85855216,1
14,57.78667812,-70.38116388,26.80003029,94.92654806,0.2143554364,-0.07001624042,-0.6451523329,0.34236467,-0.05202403,-0.8739176,1
15,58.07142547,-70.45639569,27.44155737,95.33852326,-0.2987342802,0.009853118004,0.6568996236,-0.16802357,0.028028538,0.42695704,1
16,57.84155744,-70.69456859,27.69187051,95.44740622,-0.3725546042,0.3477919392,1.666099792,-0.24074215,0.36583665,1.4368421,1
17,57.7935052,-70.83474526,27.74062309,95.53634153,-0.3459503889,-0.01805475951,0.6743578759,-0.21386684,-2.98E-05,0.44520745,1
18,58.98985508,-70.46773109,27.34772721,95.88223254,0.3799873975,0.6837338857,0.9420815553,0.51077676,0.7026678,0.7087526,1
